CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11134,Dr.,Sophia,Mehta,8/5/1982,S,M,sophia11134@adventure-works.com,60058,1,PhD,Consultant,N
11135,Dr.,Priya,Yang,10/18/1995,M,M,priya11135@adventure-works.com,87172,3,PhD,Management,Y
11136,Mr.,Neha,Johnson,2/26/1966,S,M,neha11136@adventure-works.com,82244,0,Bachelors,Skilled Manual,Y
11137,Dr.,Noah,Smith,8/18/1973,M,M,noah11137@adventure-works.com,82513,4,PhD,Professional,Y
11138,Mr.,Michael,Huang,3/3/1978,S,M,michael11138@adventure-works.com,56414,5,Masters,Clerical,N
11139,Mrs.,Eugene,Smith,7/6/1992,S,F,eugene11139@adventure-works.com,94727,0,High School,Consultant,Y
11140,Dr.,Amit,Sharma,2/6/1983,M,M,amit11140@adventure-works.com,95855,4,Bachelors,Skilled Manual,N
11141,Dr.,Michael,Singh,2/12/1983,M,F,michael11141@adventure-works.com,104322,1,Bachelors,Professional,N
11142,Dr.,David,Miller,8/30/1991,S,F,david11142@adventure-works.com,80575,1,Masters,Clerical,N
11143,Mr.,Christy,Johnson,9/28/1979,M,M,christy11143@adventure-works.com,77880,2,High School,Clerical,N
11144,Ms.,Sophia,Khan,3/23/1975,M,M,sophia11144@adventure-works.com,81766,3,PhD,Consultant,N
11145,Mr.,Eugene,Khan,11/2/1986,M,M,eugene11145@adventure-works.com,44116,5,Bachelors,Skilled Manual,N
11146,Mrs.,Sophia,Ruiz,4/18/1997,S,F,sophia11146@adventure-works.com,77079,1,High School,Consultant,N
11147,Mr.,Eugene,Ruiz,8/29/1965,M,M,eugene11147@adventure-works.com,107113,0,Masters,Professional,N
11148,Mr.,Amit,Khan,8/9/1960,S,M,amit11148@adventure-works.com,95178,1,Masters,Clerical,N
11149,Mr.,Noah,Brown,12/19/1970,S,M,noah11149@adventure-works.com,114956,3,Bachelors,Professional,Y
11150,Ms.,Ruben,Khan,10/17/1995,S,F,ruben11150@adventure-works.com,40580,2,Masters,Professional,Y
11151,Mrs.,Marco,Zhu,10/24/1997,M,F,marco11151@adventure-works.com,59237,1,High School,Clerical,N
11152,Mrs.,Shannon,Ruiz,9/30/1998,M,M,shannon11152@adventure-works.com,73704,0,High School,Sales,N
11153,Mr.,Eugene,Brown,4/26/1986,S,M,eugene11153@adventure-works.com,97947,4,Bachelors,Sales,N
11154,Dr.,Christy,Sharma,9/1/1970,M,F,christy11154@adventure-works.com,33305,1,High School,Management,N
11155,Mrs.,Michael,Garcia,5/9/1993,S,M,michael11155@adventure-works.com,49414,1,Bachelors,Professional,N
11156,Mr.,Shannon,Taylor,4/17/1982,S,M,shannon11156@adventure-works.com,34841,0,Bachelors,Sales,N
11157,Mr.,Olivia,Mehta,12/18/1973,M,M,olivia11157@adventure-works.com,117332,0,Masters,Skilled Manual,N
11158,Mr.,Michael,Sharma,5/21/1976,M,F,michael11158@adventure-works.com,62598,5,PhD,Professional,Y
11159,Dr.,Julio,Zhu,12/17/1975,S,M,julio11159@adventure-works.com,61009,4,Masters,Management,Y
11160,Mr.,David,Verhoff,10/15/1972,M,F,david11160@adventure-works.com,69762,3,PhD,Clerical,N
11161,Ms.,Robin,Huang,2/22/1963,S,M,robin11161@adventure-works.com,42265,4,Masters,Consultant,Y
11162,Ms.,Amit,Ruiz,11/19/1992,M,F,amit11162@adventure-works.com,53551,0,PhD,Professional,Y
11163,Mrs.,Priya,Sharma,2/16/1961,S,M,priya11163@adventure-works.com,42665,5,High School,Clerical,Y
11164,Dr.,Priya,Zhu,11/21/1998,S,F,priya11164@adventure-works.com,89228,2,Masters,Professional,Y
11165,Ms.,Elizabeth,Carlson,10/17/2000,S,F,elizabeth11165@adventure-works.com,112097,4,PhD,Professional,Y
11166,Mrs.,Sophia,Ruiz,8/21/1984,M,F,sophia11166@adventure-works.com,95475,5,PhD,Consultant,N
11167,Dr.,Daniel,Sharma,6/7/1960,S,M,daniel11167@adventure-works.com,56768,4,PhD,Clerical,N
11168,Mr.,Sophia,Torres,6/10/1999,S,M,sophia11168@adventure-works.com,116382,2,Bachelors,Consultant,Y
11169,Dr.,Liam,Mehta,9/1/1977,S,F,liam11169@adventure-works.com,112304,1,Bachelors,Management,Y
11170,Ms.,Eugene,Khan,2/8/1980,S,M,eugene11170@adventure-works.com,92847,4,Masters,Skilled Manual,N
11171,Mrs.,Christy,Carlson,7/28/1974,M,M,christy11171@adventure-works.com,110103,5,High School,Skilled Manual,N
11172,Ms.,Ruben,Johnson,4/16/1983,S,F,ruben11172@adventure-works.com,52951,0,PhD,Management,Y
11173,Mr.,Sophia,Brown,6/16/1996,M,M,sophia11173@adventure-works.com,50831,5,Masters,Sales,Y
11174,Mrs.,Noah,Ruiz,1/19/1973,S,F,noah11174@adventure-works.com,43380,5,Masters,Consultant,N
11175,Mr.,Sarah,Khan,9/11/1964,M,F,sarah11175@adventure-works.com,118185,2,High School,Consultant,N
11176,Dr.,Sarah,Patel,6/21/1982,M,F,sarah11176@adventure-works.com,81876,0,Bachelors,Clerical,N
11177,Mr.,Neha,Miller,2/19/1963,S,F,neha11177@adventure-works.com,74424,2,Bachelors,Sales,N
11178,Ms.,John,Brown,12/10/1966,S,M,john11178@adventure-works.com,91604,0,Masters,Management,Y
11179,Mrs.,Robin,Sharma,3/15/1978,M,F,robin11179@adventure-works.com,105074,0,PhD,Sales,Y
11180,Ms.,Sophia,Wilson,6/30/1998,S,M,sophia11180@adventure-works.com,54386,0,Bachelors,Sales,Y
11181,Mr.,Ruben,Garcia,11/6/1982,M,M,ruben11181@adventure-works.com,79487,0,Masters,Clerical,N
11182,Dr.,Priya,Patel,11/2/1975,M,F,priya11182@adventure-works.com,91653,5,High School,Clerical,Y
11183,Mrs.,John,Miller,1/8/1993,M,M,john11183@adventure-works.com,91597,1,PhD,Management,N
11184,Dr.,Julio,Sharma,3/19/1968,S,F,julio11184@adventure-works.com,79197,3,Bachelors,Skilled Manual,Y
11185,Ms.,Michael,Mehta,2/10/1968,M,F,michael11185@adventure-works.com,106455,4,PhD,Skilled Manual,N
11186,Mr.,John,Carlson,3/11/1984,M,M,john11186@adventure-works.com,96701,3,Bachelors,Sales,N
11187,Ms.,John,Smith,7/9/1961,S,M,john11187@adventure-works.com,96244,2,Bachelors,Clerical,N
11188,Mrs.,Shannon,Yang,8/20/1972,M,M,shannon11188@adventure-works.com,52900,5,PhD,Sales,N
11189,Ms.,Amit,Verhoff,2/14/1966,M,M,amit11189@adventure-works.com,59182,0,Bachelors,Professional,N
11190,Mr.,Michael,Carlson,10/5/1995,S,F,michael11190@adventure-works.com,105065,1,PhD,Clerical,Y
11191,Dr.,Elizabeth,Verhoff,7/30/1983,M,M,elizabeth11191@adventure-works.com,34550,5,Masters,Consultant,Y
11192,Mrs.,Priya,Wilson,8/23/1985,M,M,priya11192@adventure-works.com,110651,1,PhD,Clerical,N
11193,Mrs.,Neha,Khan,7/6/1989,S,M,neha11193@adventure-works.com,94399,4,High School,Clerical,Y
11194,Ms.,Liam,Torres,5/18/1972,S,F,liam11194@adventure-works.com,113175,1,Masters,Clerical,N
11195,Mr.,Olivia,Johnson,10/28/1991,S,M,olivia11195@adventure-works.com,69735,2,Masters,Clerical,Y
11196,Mr.,Marco,Davis,4/17/1961,S,M,marco11196@adventure-works.com,53669,3,High School,Skilled Manual,Y
11197,Mr.,Sarah,Ruiz,3/5/1974,M,M,sarah11197@adventure-works.com,35582,5,High School,Consultant,Y
11198,Ms.,Noah,Smith,6/15/1965,S,F,noah11198@adventure-works.com,43188,0,PhD,Clerical,Y
11199,Mr.,Robin,Carlson,8/28/1977,S,M,robin11199@adventure-works.com,113523,2,Bachelors,Consultant,Y
11200,Ms.,Noah,Khan,11/1/1997,M,M,noah11200@adventure-works.com,109950,4,Bachelors,Professional,N
11201,Ms.,Olivia,Carlson,1/1/1984,S,F,olivia11201@adventure-works.com,96034,1,PhD,Sales,N
11202,Mr.,David,Torres,1/29/2000,S,F,david11202@adventure-works.com,96498,3,Bachelors,Professional,Y
11203,Mrs.,Daniel,Johnson,10/1/1965,M,F,daniel11203@adventure-works.com,80560,3,PhD,Management,N
11204,Dr.,Eugene,Sharma,4/8/1997,S,M,eugene11204@adventure-works.com,68318,0,Bachelors,Consultant,N
11205,Ms.,Marco,Patel,8/17/1986,S,M,marco11205@adventure-works.com,88563,0,Bachelors,Skilled Manual,N
11206,Dr.,John,Brown,4/8/1993,S,M,john11206@adventure-works.com,90496,4,High School,Management,Y
11207,Ms.,David,Yang,9/19/1972,S,F,david11207@adventure-works.com,71546,1,Bachelors,Consultant,N
11208,Mr.,Marco,Smith,8/1/1985,S,F,marco11208@adventure-works.com,35921,3,Bachelors,Clerical,Y
11209,Dr.,Shannon,Carlson,11/13/1976,M,F,shannon11209@adventure-works.com,84221,0,High School,Skilled Manual,Y
11210,Ms.,Olivia,Singh,12/14/1963,M,F,olivia11210@adventure-works.com,30271,5,Bachelors,Skilled Manual,N
11211,Ms.,Neha,Yang,9/1/1978,S,F,neha11211@adventure-works.com,68900,2,High School,Professional,Y
11212,Mrs.,Daniel,Wilson,12/29/1981,M,M,daniel11212@adventure-works.com,116693,4,PhD,Consultant,Y
11213,Mrs.,Noah,Carlson,6/15/1988,S,F,noah11213@adventure-works.com,65804,2,Masters,Skilled Manual,N
11214,Mrs.,Marco,Carlson,3/5/1993,M,M,marco11214@adventure-works.com,33416,1,Bachelors,Sales,N
11215,Ms.,Liam,Davis,11/15/1974,M,F,liam11215@adventure-works.com,112095,2,High School,Skilled Manual,N
11216,Ms.,Sarah,Ruiz,5/7/1982,S,F,sarah11216@adventure-works.com,79360,4,Bachelors,Professional,N
11217,Ms.,Marco,Miller,9/11/1966,M,F,marco11217@adventure-works.com,48333,1,PhD,Professional,N
11218,Dr.,Amit,Mehta,3/1/1976,M,M,amit11218@adventure-works.com,30293,5,High School,Sales,N
11219,Dr.,Sarah,Mehta,4/5/1991,M,F,sarah11219@adventure-works.com,88560,2,PhD,Management,Y
11220,Dr.,Noah,Ruiz,6/16/1966,M,M,noah11220@adventure-works.com,112498,4,PhD,Clerical,N
11221,Mrs.,David,Ruiz,4/18/1998,M,M,david11221@adventure-works.com,78266,4,Bachelors,Management,N
11222,Mr.,Julio,Mehta,11/24/1999,S,M,julio11222@adventure-works.com,39080,0,PhD,Clerical,N
11223,Dr.,Robin,Johnson,7/1/1981,M,M,robin11223@adventure-works.com,75510,3,Masters,Sales,Y
11224,Dr.,John,Mehta,3/18/1980,S,F,john11224@adventure-works.com,45683,0,Bachelors,Consultant,Y
11225,Ms.,Ruben,Zhu,7/4/1995,S,M,ruben11225@adventure-works.com,97765,0,High School,Consultant,N
11226,Mr.,Elizabeth,Taylor,3/2/1967,M,F,elizabeth11226@adventure-works.com,73614,4,High School,Sales,Y
11227,Ms.,Priya,Zhu,11/28/1982,S,F,priya11227@adventure-works.com,41021,4,High School,Professional,Y
11228,Ms.,Olivia,Mehta,7/5/1973,M,M,olivia11228@adventure-works.com,115879,5,High School,Skilled Manual,N
11229,Dr.,Michael,Smith,1/13/1979,S,M,michael11229@adventure-works.com,81296,0,High School,Management,N
11230,Mrs.,John,Taylor,9/20/2000,S,F,john11230@adventure-works.com,116727,2,Bachelors,Skilled Manual,Y
11231,Mrs.,Shannon,Johnson,7/1/1989,S,M,shannon11231@adventure-works.com,33411,2,Masters,Skilled Manual,N
11232,Ms.,Sophia,Wilson,7/16/1978,M,F,sophia11232@adventure-works.com,52280,5,PhD,Consultant,Y
11233,Dr.,Sarah,Taylor,3/20/1988,M,M,sarah11233@adventure-works.com,86864,1,PhD,Professional,N
11234,Dr.,Sophia,Sharma,7/5/1996,S,F,sophia11234@adventure-works.com,95137,5,Bachelors,Management,Y
11235,Ms.,Sophia,Davis,1/30/1966,M,M,sophia11235@adventure-works.com,111447,5,Bachelors,Clerical,Y
11236,Mr.,Robin,Brown,2/23/1964,S,M,robin11236@adventure-works.com,85948,2,PhD,Clerical,Y
11237,Mr.,Eugene,Miller,5/19/1989,S,F,eugene11237@adventure-works.com,113038,3,Masters,Sales,N
